1|The quick brown fox jumps over the lazy dog.
2|She sells seashells by the seashore.
3|How much wood would a woodchuck chuck?
4|A quick movement of the enemy will jeopardize six gunboats.
5|The five boxing wizards jump quickly.
6|Pack my box with five dozen liquor jugs.
7|Jackdaws love my big sphinx of quartz.
8|The lazy dog sleeps in the sun.
9|Bright vixens jump; dozy fowl quack.
10|The birch canoe slid on the smooth planks.
11|Glue the sheet to the dark blue background.
12|It's easy to tell the depth of a well.
13|These days a chicken leg is a rare dish.
14|Rice is often served in round bowls.
15|The juice of lemons makes fine punch.
16|The box was thrown beside the parked truck.
17|The hogs were fed chopped corn and garbage.
18|Four hours of steady work faced us.
19|A large size in stockings is hard to sell.
20|The boy was there when the sun rose.
21|A rod is used to catch pink salmon.
22|The source of the huge river is the clear spring.
23|Kick the ball straight and follow through.
24|Help the woman get back to her feet.
25|A pot of tea helps to pass the evening.
26|Smoky fires lack flame and heat.
27|The soft cushion broke the man's fall.
28|The salt breeze came across from the sea.
29|The girl at the booth sold fifty bonds.
30|The small pup gnawed a hole in the sock.
31|The fish twisted and turned on the bent hook.
32|Press the pants and sew a button on the vest.
33|The swan dive was far short of perfect.
34|The beauty of the view stunned the young boy.
35|Two blue fish swam in the tank.
36|Her purse was full of useless trash.
37|The colt reared and threw the tall rider.
38|It snowed, rained, and hailed the same morning.
39|Read verse out loud for pleasure.
40|A cramp is no small danger on a swim.
41|He said the same phrase thirty times.
42|Pluck the bright rose without leaves.
43|Two plus seven is less than ten.
44|The glow deepened in the eyes of the sweet girl.
45|Bring your problems to the wise chief.
46|Write a fond note to the friend you cherish.
47|Clothes and lodging are free to new men.
48|We frown when events take a bad turn.
49|Port is a strong wine with a smoky taste.
170|Wow, what a view!
171|Your kettle has boiled.
172|The outside temperature is 10 degrees.
173|Hello from Home Assistant.
174|I've turned on the kitchen kettle.
175|I've turned off the living room lights.
176|You have seven items on your shopping list.
